usuario,item,rating
166,150100117,25
901,160130016,14
323,150210013,7
2387,160215016,6
322,100201007,300
3382,100201024,50
1405,100201007,108
1524,100610024,3
2351,160207016,406
2943,100101050,10
2438,100102010,86
356,100110011,3
617,161020023,72
352,161020023,6
326,150100117,1
2762,100201007,112
752,100102010,883
2162,100102010,15
429,160100116,11
2382,160701040,18
1475,100600126,68
2350,100750011,1
2250,150100111,1
465,110200102,58
159,150100117,8
901,161000123,10
1524,120323062,1
1001,190340011,13
1620,160223016,150
371,100102010,76
347,260151034,2
2394,100102010,170
648,100221024,2
984,100101009,6
80,100102010,85
2848,150100117,8
1110,100102010,45
675,110200102,15
608,100201007,280
4048,100231066,150
2166,180220033,12
1919,200115038,12
2199,100101009,60
2089,100201007,100
778,110200102,6
312,160100116,57
3650,150100117,18
1666,100750011,4
3311,100610024,20
573,100102010,340
325,150100117,63
336,100201024,330
641,100201024,20
523,100201007,50
423,100201007,720
295,150100117,5
2828,100201024,150
901,200311037,1
3212,100221024,4
3799,250256037,1
817,100221024,8
1405,160201015,1
518,160110016,12
288,100160011,2
279,150100117,8
3212,100102010,50
748,100221024,1
521,100201024,100
1919,200300139,18
2196,160213016,5
3799,250221033,1
1919,250202037,2
3131,100102010,76
801,110200102,66
754,110200102,70
539,100101008,50
3479,100102010,50
1094,100221024,3
759,100102010,45
2927,100101008,50
3730,100750011,1
72,160520016,1
1949,250122023,4
402,100221024,1
617,230100101,1
713,100522011,5
1405,170214016,54
688,250203033,2
1944,100201024,9
316,100102010,1
369,100201007,250
288,160204016,1
158,190340011,12
920,100610024,2
771,150100117,9
321,100600126,20
3137,100201007,118
678,110200102,15
1517,100201007,9
157,200131037,15
3308,100201024,300
2130,100201024,5
277,150100117,26
1789,110200102,2
1911,160110016,3
80,100201024,10
290,100102010,90
125,190340011,12
384,100201024,150
177,100522011,2
2192,100101059,20
1300,150100117,10
2635,100101008,200
2882,110200102,1
382,150260013,5
3202,100610024,5
2335,110200102,12
2170,100750011,9
177,100221024,1
1919,180220033,6
282,110200102,14
352,180221038,3
581,100101008,85
3134,100610024,4
158,100122011,3
628,230100101,1
1571,100201007,60
859,100101009,195
2351,190340011,30
157,200160033,9
2724,100201007,20
426,100102010,1880
718,230100101,1
765,150100117,41
3658,100610024,20
165,200232033,22
2491,160203016,4
418,110200102,60
2432,110200102,35
254,100201007,420
1418,100101008,20
536,200111039,11
489,100102010,330
536,200110033,15
2434,110200102,40
1192,150100117,42
1398,160500116,14
2200,100102010,60
73,150100117,1
837,260200134,14
552,110200102,20
2617,100201024,60
3827,100102010,90
271,100201024,55
292,100600126,6
3558,100102010,200
2351,160120016,12
1207,150100117,3
669,110200102,49
853,150100117,15
2355,100102010,141
442,100122011,1
1970,170213016,1
686,100201007,360
429,161050023,1
277,100101009,1
3849,100600126,18
444,200232033,20
1405,100221024,2
364,100201024,138
405,110200102,1
2250,150300111,1
1607,170701038,10
301,100600126,9
271,100102010,42
444,100221024,1
817,110200102,69
2915,100221024,1
165,230100101,28
690,110200102,10
2266,100221024,3
377,110200102,3
2505,100620029,70
2765,100201024,20
4164,100610024,10
713,140160030,10
330,110200102,90
3134,100600126,6
2887,160201015,2
581,100102010,269
3893,100201024,50
1909,160205015,1
984,250124023,6
2218,100101008,100
292,250124023,3
1094,140160016,20
837,100201007,120
4087,100201066,100
713,100102010,420
1617,100750011,7
2382,250124023,16
3548,100101050,30
1479,100201024,30
1266,100201024,90
901,100101009,12
3277,190340011,18
4182,100102010,56
1499,100101009,10
1919,100201007,210
647,100201007,175
3206,100102010,50
2268,100101009,30
717,110200102,2
1617,160205016,2
3560,100101009,50
2267,100102010,50
165,140200130,2
1343,110200102,68
2882,150100117,19
759,100221024,1
2112,150100117,12
859,100203042,6
724,100201007,150
761,150100117,6
741,100201007,12
245,150100117,2
1918,150100117,50
931,110200102,1
1256,100750011,4
157,100201007,4
246,100101009,1143
715,110200102,19
2790,100101009,80
1544,110200102,9
1742,110200102,4
648,100201007,264
536,140160016,32
1372,110200102,7
2919,100102010,60
3261,100201024,200
3640,100101050,10
3635,110200102,6
1607,190340011,12
2350,100102010,66
3276,100201024,120
2429,100201007,130
1618,160203016,5
261,110200102,100
265,100201007,70
1574,150100117,17
425,110200102,10
1170,100102010,180
1001,160100116,1
283,100102010,37
2492,100101050,6
2218,100610024,10
724,100610024,5
1720,100201024,4
2307,100101009,85
1327,200231039,6
2168,100101050,92
1001,160203015,1
1372,100102009,1
1398,160201015,2
311,100221024,1
367,150100117,15
581,150100111,1
423,100221024,4
3760,150300163,100
1062,100750011,6
1223,100102010,30
713,100221024,2
3202,100221024,2
1666,100122011,3
2617,150100117,11
888,100102010,212
2119,100600126,10
270,110200102,1
1398,100522011,8
81,100102010,99
2491,160100116,60
1065,110200102,15
675,100201007,40
1346,100101009,52
79,100101009,31
2351,160100115,2
853,100610026,2
2429,100101009,50
3754,100201024,550
616,110200102,13
2068,100201024,8
535,100102010,50
741,110200102,23
810,110200102,12
3799,180211038,1
1001,260200134,2
1909,160120016,3
539,230100101,1
1405,160500116,12
173,100201024,70
405,100101009,26
1464,100102010,80
552,100600126,33
2887,160221016,10
772,100201007,2
617,161050023,53
314,150100117,76
327,150100117,139
806,100201024,40
1184,100201024,12
4023,100610024,18
675,100102010,70
1742,100600126,23
1475,100101008,110
292,100102010,58
3125,100201024,6
2108,100101043,30
173,150300112,6
76,100201007,670
3005,150100117,9
282,100102010,302
3002,200131037,12
365,150100117,180
3220,100102010,30
2506,150100117,36
1244,100102010,200
669,100102010,110
3154,100102010,50
175,140160016,12
662,100102010,252
2501,100201024,20
1923,160110016,12
659,100102010,244
245,100201024,15
1544,160120016,4
3382,100101008,150
877,100102010,6
3666,100600126,30
1916,190340011,73
3555,100201024,5
400,100600126,3
177,110200102,19
1285,100201024,198
3849,100102010,100
367,110200102,55
1919,260151034,3
385,100102010,164
590,140160016,31
590,100102010,80
1632,100201007,671
165,200122037,82
616,100201007,25
2351,160110016,30
984,100102010,10
998,110200102,2
856,100102010,20
2366,100102010,70
1666,100500111,1
1001,100201024,13
425,100102010,410
3328,100600126,60
741,100102010,42
752,150100112,5
2619,100231066,30
3202,100101008,20
2619,100101008,10
173,100102010,73
1166,100531011,2
1368,100403042,7
928,190350025,20
1578,190340011,3
663,230100101,1
1941,250124023,3
334,230100101,10
1571,100101009,160
590,110200102,2
3118,100101008,20
2183,100201024,90
2394,190340011,8
837,190340011,10
1405,160203016,48
158,100620027,28
1524,100101059,40
3261,100101008,100
162,100101009,10
2887,140200130,36
178,100201007,60
2071,160204016,51
411,100221024,8
399,110200102,24
777,100102010,90
2425,100101050,92
1368,100102010,2
323,150260013,1
2143,110200102,22
294,100102010,8
2065,100102010,60
1393,100201007,100
2491,110200102,6
1184,100201007,50
2323,100201007,20
1398,100500111,4
2434,150260013,40
688,160100115,1
989,161010023,48
874,100102010,220
3338,100102010,100
364,100102010,608
2355,150100117,8
837,100610024,17
125,100102010,467
3734,100102010,40
79,100102010,163
3309,100102010,20
1004,150100117,6
782,140160016,8
360,100101008,10
2323,100101009,70
853,260121034,6
356,100201024,20
2629,110200102,12
2387,170233016,1
165,260502035,1
381,170200116,12
300,100102010,69
2229,100221024,2
787,110200102,50
289,110200102,1
300,150100117,2
4105,100610024,3
3130,100201007,50
342,190340011,12
178,100102010,73
2617,100750011,9
80,250260038,1
2856,150100117,1
1184,100101009,10
536,200111033,24
3897,100403042,17
2196,160208016,10
3196,100201066,30
2266,100102010,131
853,100610024,3
2229,110200102,12
1939,100201024,23
789,150100117,30
3121,100221024,2
3393,100610024,6
596,100102010,69
3501,200232039,35
1620,160100116,30
356,100750011,10
2732,150100117,13
3202,100201024,110
352,100600126,26
3328,100221024,8
158,100750011,9
541,100102010,360
243,100102010,220
251,100102010,105
342,150240013,18
480,100750011,7
248,100102010,110
712,100600126,20
279,100102010,2
125,100600126,4
424,100101009,20
2387,160213016,42
72,150100117,48
1450,100201024,100
249,100201007,550
2625,100101008,10
2828,100101008,50
4086,100101060,200
1327,200232033,6
1088,110200102,32
3266,100201007,160
2887,100201024,54
754,100201024,806
1789,100101008,3
3319,100102010,100
387,100101006,2
874,110200102,62
2506,100101009,45
272,100610024,33
3555,100101050,30
1667,170200116,14
2801,100101008,5
2111,100102010,30
451,100101008,30
931,100201007,30
388,100610024,2
1617,160130016,6
2498,100201024,72
2952,100221024,2
1524,250201037,3
305,110200102,68
400,100221024,4
2394,110200102,8
2355,100601065,11
548,110200102,40
1565,100201007,60
1327,100101008,125
1062,190340011,6
2355,100201007,170
1974,200711038,2
2438,100221024,2
1065,100610024,13
720,100102010,100
1544,160110016,12
325,160204016,1
2071,200142037,38
641,100600126,72
334,150100117,25
853,160204016,2
2351,120201038,12
1984,100750011,5
1256,110200102,12
124,250140023,2
3121,100101050,15
1244,100201024,100
261,150100117,45
1544,100201024,160
2705,100102010,10
3112,150100117,11
3220,100600126,2
754,100102010,789
2291,150100117,3
584,110200102,1
2617,160130016,6
3308,100600126,24
2020,100122011,10
177,150100117,36
1923,100102010,20
559,100201007,60
330,100522011,2
2351,100201024,50
337,100102010,180
3211,150100117,6
243,100600126,10
2125,100201024,40
3309,100101050,8
688,100201024,477
1667,100221024,4
2192,100201007,80
2071,160223016,26
853,100600126,18
2915,100102010,30
1533,150100117,19
3266,100101008,80
1001,160207016,1
3142,100201007,44
505,100102010,5
3222,160110016,18
322,100201024,368
381,160501016,26
2505,100101008,5
1192,100102010,250
2215,100201024,50
808,100102010,1403
777,100522011,6
246,190340011,13
298,100221024,10
3006,170200115,2
984,100403042,10
254,200147038,1
3893,100101043,50
342,100101009,70
617,100521011,10
623,110200102,56
808,100201007,940
298,150100117,23
581,230100101,1
408,100201024,30
79,100620029,20
1170,100201007,130
331,110200102,18
2287,100101008,200
1256,100102010,140
1207,150100111,12
3124,100221024,1
1533,100101009,5
1667,100201007,50
2130,110200102,10
3487,100101008,200
1974,190360011,5
713,100750011,5
1666,140160016,3
158,100221024,2
1945,100102010,80
2887,160205016,5
3006,160110016,14
2937,100101008,180
381,160203016,25
3799,120323062,6
2711,100101050,90
165,120401052,1
79,100610024,14
3022,100201024,3
700,100102010,100
1667,160210516,3
2393,160208016,10
493,110200102,8
2192,100221024,4
690,100101009,50
165,110200156,4
938,110200102,2
1642,100221024,1
274,160203015,4
2505,100600126,12
3206,100101008,70
544,150100117,32
993,100201007,76
2439,100101008,70
429,200232033,10
3311,100600126,42
254,110200102,6
2366,100201007,50
1607,160223016,25
3142,100221024,1
333,100542011,3
661,100102010,4
536,150260013,12
320,110200102,3
2196,140160016,3
623,100201007,150
1393,100221024,5
271,100201007,50
3392,100201007,999
3142,100201024,44
872,100102010,7
429,160204015,1
1618,160120016,4
1565,100102010,105
1642,250251033,3
2841,150100117,3
381,100122011,4
1544,100750011,2
859,100201024,257
989,100102010,70
3870,100201024,200
325,100750011,18
539,160203015,4
1997,100102010,90
2071,161020023,2
1941,110200102,3
721,100102010,12
166,110200102,34
79,100201007,281
1742,100610024,10
3215,100600126,20
4130,100201024,40
3221,100102010,100
250,100102010,41
2154,100101009,215
699,100101009,2
1405,160100116,20
1909,160500116,10
316,150100117,12
920,160201015,1
347,200110033,4
125,100610024,4
1986,100201024,40
1149,100201007,80
402,160100116,1
2266,100610024,10
1667,160217016,20
2152,100102010,295
2936,100201007,1000
383,100201007,185
2351,160203016,154
159,100201007,688
310,110200102,10
3278,100201007,150
1617,100160011,2
2891,150100117,33
3782,100201024,300
2698,100101008,30
271,150100117,27
1327,100102010,143
3222,160201016,84
274,250140023,1
966,100102010,30
1922,190340011,6
3130,100101008,20
2387,170311016,25
342,110200102,5
3156,100750011,1
2183,100221024,3
292,100610024,3
641,100101008,18
305,100201007,114
2171,100201007,145
1062,110200102,10
1285,100201007,190
1405,160205016,4
754,100101009,30
3156,110200102,3
1372,100101009,465
777,110200102,64
246,100102010,481
387,170214015,1
2196,190350025,10
801,100201007,30
2351,160500116,66
659,100201007,40
872,150100117,14
686,100101008,30
4105,100101050,30
1984,110200102,4
2071,150100117,10
1475,100610024,43
296,190340011,76
371,100201007,197
489,100201007,300
336,150100117,12
4153,100610024,8
3762,100600126,48
474,230100101,1
1667,160100116,20
2505,100102010,35
264,100101008,30
1717,150100117,6
3479,100101031,0
2434,180220033,24
308,150100117,5
2065,100201024,370
1170,160201016,8
690,100102010,160
2617,160227016,5
1062,100122011,1
177,100102010,57
2215,100201007,50
467,100600126,64
